NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Wyandotte County,Kansas,61282,2.72,81.4,20,6.1,85.1,17,29.1,21.7,57771,27534,16.8,68482,2.1,2.5,3.5,4.3,6.8,60.5,139800,167989,49.7,7.5,27.2,13,50.2,20.5,1.1,5.3,0.2,10,18.3,4.3,3107,69988,9447,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,2158193,346954,1090.950181
Adair County,Kentucky,6803,2.59,86.1,18.6,7.2,86.4,2.9,3.3,25.7,49690,26098,19.8,8629,1.8,1.8,1.6,0.7,0.8,76.5,126900,18887,49.4,5,20.3,19.4,92.4,1.6,0,0.4,0.1,4.9,2.6,0.7,321,3994,1663,221,0,0,0,0,0,0,223054,0,47.37865372
Allen County,Kentucky,7816,2.63,86.5,18.3,7.8,91.2,1.7,7,27.1,57159,28307,16.5,9237,0.5,2.5,1.2,1.1,0.5,76.9,160200,20773,50.1,6.1,23,17.6,95.8,0.8,0,0,0,2.7,0.9,0.4,247,3605,1506,673.5,0,0,0,0,0,0,116977,20461,61.90086765
Anderson County,Kentucky,9180,2.59,91.1,25.3,6.5,89.9,1.2,1.6,28.5,69885,33513,13.4,10055,6,3.2,0.6,0.5,0.3,78.8,198800,23839,49.4,5.8,23.2,16.2,93.8,3.1,0,0.1,0.1,2.5,1.5,1,342,3979,1584,216,0,0,0,0,0,57,237836,24462,112.5164089
Ballard County,Kentucky,2959,2.58,92.1,17.3,7.7,93.2,1.1,5.6,25,57111,31315,14.3,3710,2.2,4.3,2.6,0.3,0.1,80.4,102000,7742,49.6,4.4,20.1,22.3,92.5,3.9,0.2,0.5,0,2.9,0.5,1.1,151,1369,486,102,0,0,0,0,0,0,40561,0,31.95218364
Barren County,Kentucky,17592,2.49,84.7,17.4,6.2,87.6,2.5,5.5,23.1,48141,27732,21.1,19929,4.7,6.4,1.9,1,1.5,66.2,156800,44511,51.4,6,23.4,17.8,89.7,3.5,0.4,0.8,0,4.4,3.2,1,812,12717,3540,834,0,0,0,0,0,128,734577,91325,90.75151183
Bath County,Kentucky,4844,2.61,81.4,14.4,4.5,89.6,0.3,4.5,31.3,51471,27018,23.1,5463,0.4,1,2.2,0.8,1,72.3,101300,12739,49.5,6.6,25.2,16.9,95.5,1.7,0.1,0.1,0,1.6,1.2,0.1,144,1486,870,74,0,0,0,0,0,0,40314,0,44.83545575
Bell County,Kentucky,9456,2.49,78.2,11.7,3.9,87.8,0.2,0.4,24.4,33658,19262,26.3,11634,2.1,5.7,4.2,0.4,2,63.1,76700,24248,49.8,6,21.7,18.7,94.4,1.9,0.2,0.1,0,3.1,0.5,0.6,455,6509,1258,372,0,0,0,0,0,42,396126,47215,72.50006244
Boone County,Kentucky,49587,2.72,93.8,34.6,8.5,86.4,6.3,8.4,24.4,91697,41281,5.7,51773,1.1,2.1,7.5,8.3,2.9,76.2,237600,136150,50.1,6.4,25.7,14.2,87.6,3.6,0.2,2.3,0.2,4.2,3.6,1.4,3153,85591,9115,2193.2,52.46666667,0,132.9333333,0,34.13333333,391.2666667,4772007,403126,542.3853181
Bourbon County,Kentucky,8067,2.48,85.3,23.2,5.3,91.1,4.2,6.5,24.5,54580,30123,15.1,9134,6.8,4.1,4,0.3,0.5,64.7,187700,20228,50.8,5.8,22.6,18.9,86.3,4.9,0.4,0.1,0,6.1,5.2,1.7,369,5368,1373,1669.833333,0,0,62.83333333,0,0,356.6666667,430381,0,68.29423645
Boyd County,Kentucky,18533,2.51,88.7,20.8,8.8,86.8,0.9,2.2,22.3,58327,30993,17.4,21745,2.2,2,3.7,2.1,2.8,68.9,129000,48242,49.9,5.6,21.5,19.9,93,2,0,0.3,0,3.3,1.9,0.4,1200,20071,2583,612.4285714,0,0,28.71428571,0,0,108.2857143,855365,147725,292.2300267
Boyle County,Kentucky,11649,2.38,90.4,26.8,6.4,85.1,2,3.3,22.1,56568,29955,15,12933,7.9,3.8,3.7,1.1,1.2,68.8,179800,30613,49.5,4.8,20.2,18.8,85.7,8.2,0,0.8,0,4,2.8,0.5,766,13000,2106,639,0,0,0,0,0,0,527835,75309,166.6759846
Bracken County,Kentucky,3138,2.67,88,17.6,6.8,94.5,0.7,1.3,35.7,59911,29164,17,3844,1.6,1.7,1.4,1.6,1,80.5,115100,8420,49.7,5.9,23.5,17,96.1,1.4,1.6,0.2,0,0.6,0.3,0.2,90,834,564,2193.2,52.46666667,0,132.9333333,0,34.13333333,391.2666667,28065,0,40.95866216
Breathitt County,Kentucky,5529,2.4,79.5,17,4.4,90.6,0.9,1,28.8,38209,21985,28.5,6563,1.3,2.6,3.2,1,0.1,72.9,58800,13580,49.4,5.7,20.4,17.9,96.2,1,0.2,0.8,0,1.7,1.5,0.4,149,1920,544,228,0,0,0,0,0,39,112282,0,25.64901989
Breckinridge County,Kentucky,7542,2.68,85.1,14.3,9.2,93.9,0.6,4.4,34.4,51756,27733,23.5,10725,1.3,0.3,1.2,0.5,0.7,82.4,124800,20528,49.3,5.6,22.6,19.3,94.7,1.7,0,0,0,3,0.9,0.3,284,2531,1450,243,0,0,0,0,0,0,160406,9635,35.93680081
Bullitt County,Kentucky,31068,2.64,89.4,17.5,8.7,91.9,2.5,3.1,28,73900,34362,10.6,32854,0.8,4.3,2.8,1.1,1.2,82.6,214000,82482,49.8,5,21.4,16.5,92.9,1.2,0,0.7,0,4.2,3,0.4,1222,22845,4944,1852.833333,27.5,0,89.66666667,0.166666667,0,324.1666667,1505302,109649,274.9746462
Butler County,Kentucky,4501,2.71,80.7,11.3,7.2,85.8,2.7,6.8,28.6,47589,23862,19.8,5465,2.1,0.9,2.3,2.3,0.2,72.2,102200,12365,48.9,5.8,22.9,18.4,96,0.5,0.1,0.7,0,2.1,1.6,3.2,182,1958,819,673.5,0,0,0,0,0,0,61733,0,30.22589917
Caldwell County,Kentucky,5128,2.43,87.7,16.1,7,93,2.1,3.2,26.1,52488,31255,16.2,6092,4.5,2,0.5,0.5,2.2,73.1,103200,12635,50.7,5.6,22.5,21,90.4,6,0,0,0,2.2,1.4,0.8,267,3511,734,253,0,0,0,0,0,0,190790,17560,36.97032697
Calloway County,Kentucky,14805,2.31,90.3,31.5,5.5,81.7,3.5,3.4,16.6,48276,27850,18.7,17983,5.8,4.9,6.3,3.1,1.8,64.4,169100,37345,51.3,4.5,18,17.1,90,3.5,0.3,1.6,0.3,3.1,2,0.4,876,13903,2736,853,0,0,0,0,0,119,610543,0,101.2932854
Campbell County,Kentucky,38684,2.33,93.3,39.3,6,86.7,2.3,3.5,24,71979,42846,11.7,41465,4.1,3.5,7.3,8.4,6,71.5,214400,93122,50.4,5.6,20.7,16.6,92.3,2.6,0,1,0,3.3,2,0.9,1715,23756,6240,2193.2,52.46666667,0,132.9333333,0,34.13333333,391.2666667,1187805,231789,618.3695692
Carlisle County,Kentucky,1905,2.48,86.9,13.3,7.3,87.2,0.8,1.2,27.3,53065,31403,20.1,2305,0.2,1.7,2.5,0.1,0.6,76.5,90100,4782,49.8,6.1,23.2,20.1,93.7,1.2,0.3,0.5,0.1,3.8,1.5,0.4,88,662,414,0,0,0,0,0,0,0,20583,1642,25.12669087
Carroll County,Kentucky,4039,2.61,82.7,5.8,7.7,87.8,1.4,6,23.2,50625,27858,20.3,4675,4.7,1.3,6.6,0.3,0.9,67.9,128100,10842,48.8,6.7,26.6,16.1,88.1,3.3,0,0,0,4.8,7.1,1.5,225,5980,596,186,0,0,0,0,0,0,177072,30883,82.6862002
Carter County,Kentucky,9778,2.66,81.2,14.5,6.5,93.2,1,1.3,27.7,47004,24949,23.9,12249,1.5,1.3,0.2,0.3,1.3,79.5,122300,26671,50,5.8,22.1,19.6,95.7,0.4,0.1,0.1,0,3.5,1.8,0.4,403,5006,1649,443,0,0,0,0,0,0,256072,32702,65.43913734
Casey County,Kentucky,6029,2.57,77.3,12.2,6.6,87.1,0.9,4.9,30.3,42190,22970,26.1,7388,0.7,0.9,1.6,0.8,0.1,75.8,124300,15942,51.6,6.5,22.9,20.6,95.5,0.9,0.2,0.3,0,2.1,1.6,0.2,220,2876,1275,219,0,0,0,0,0,24,103952,9137,36.37460449
Christian County,Kentucky,25602,2.62,86.3,19.1,13.2,80.6,2.7,10.2,18.9,48920,25973,16.7,29273,5.1,7.6,5.9,1.4,2.6,49.9,142000,72766,47.4,9.5,27.5,12.4,68.4,20.2,0.3,1.2,0.4,7.4,4.7,1.1,1263,23244,3997,1017.333333,0,0,0,0,0,154.3333333,927178,120724,98.20217499
Clark County,Kentucky,14762,2.47,89,20,7.6,85.8,1.9,2.9,25.7,61878,36028,15.1,16165,4.5,3.3,3.9,1.4,1.4,71.6,183200,36897,51.1,5.7,22.3,18.1,91.1,3.9,0.1,0.6,0,3.2,1.8,1.3,757,11388,2321,1669.833333,0,0,62.83333333,0,0,356.6666667,480114,64925,143.6230577
Clay County,Kentucky,7110,2.66,72.1,14.3,4.3,84.8,0.9,0.9,29.2,37888,19579,31.2,8630,1.4,1.5,3.5,0.2,0.8,74.7,73500,20322,47.3,6.1,20.7,15.8,92.2,4.2,0,0.1,0,3.4,1.9,0.7,226,2458,1138,135,0,0,0,0,0,0,204671,15545,42.4060223
Clinton County,Kentucky,3672,2.49,80.9,14,8,93,1.3,1.6,18.6,41180,23905,20.3,4872,1.3,0.7,1.5,0.7,1.3,72.8,90600,9295,50,5.6,21.5,20,95,0.2,0,1.4,0,2.4,1.2,0.5,170,2700,777,162,0,0,0,0,0,0,73779,0,51.8022183
Crittenden County,Kentucky,3495,2.5,86.4,12.5,5.5,91.5,0.6,6.3,27.1,45810,28035,17.9,4344,1.3,0.4,0.4,0,0.5,80.4,105300,8979,48.6,5.2,22.3,20.5,95.7,0.7,0.6,0.3,0,1.6,1.6,0.2,149,1559,637,143,0,0,0,0,0,0,54587,7068,24.46361046
Cumberland County,Kentucky,2519,2.34,80.4,17.1,7.9,87.5,1.1,7,21.3,40515,22668,28.3,3408,2.6,1.7,1.1,0.3,1.4,75.8,126100,5974,51,5.7,21.5,22,93.1,2.7,0.3,0.8,0,2,1.7,0.7,103,1027,576,0,0,0,0,0,0,0,51210,6554,21.6713443
Daviess County,Kentucky,40722,2.46,91.2,25.4,7,86.8,3.2,5,20,64021,33599,14,43927,4,5,4,2.6,3.5,67.9,171100,102916,50.9,6.4,24.3,17.2,87.7,4.8,0.1,2.1,0.3,3.7,2.8,1,2378,42376,6456,513.3333333,0,0,24.66666667,0,0,70.66666667,1505461,0,221.4505672
Edmonson County,Kentucky,4760,2.5,81.6,11.4,6,90.1,0.2,3.1,34.2,53029,26781,17,6389,0.4,0.2,0.5,0.9,0.1,83.2,116000,12179,49.6,4.3,18.6,21.3,95.4,0.8,0.1,0,0,2.9,1.3,0.7,115,849,1000,673.5,0,0,0,0,0,0,44934,0,40.11424282
Elliott County,Kentucky,2263,2.68,75.4,10.2,6.3,88.3,0.1,0.9,42.6,39469,17242,24.7,3056,0.1,1.3,1.4,0.5,1.2,76.7,90400,7378,42.7,4.1,17.3,20.5,96,2.9,0,0,0,1,0.6,0.5,39,309,361,0,0,0,0,0,0,0,16383,0,32.08024589
Estill County,Kentucky,5740,2.44,76.5,11.1,6,92.4,1.3,1.3,34.7,39980,21880,24,6839,4.2,1.8,4.2,2.3,0.2,73.9,100600,14138,49.4,5.1,21.7,19.2,96.2,0.1,0,0.7,0,2.9,1.3,0,174,1467,794,123,0,0,0,0,0,0,66149,13382,55.73427325
Fayette County,Kentucky,136104,2.27,92.2,46.5,5.5,78.5,10.2,13.6,20.8,66087,40953,14.9,146345,3.2,4.4,7.1,8.5,9.8,54.3,247900,321276,50.7,5.7,20.6,14.2,71.8,14.7,0.2,4.1,0,6.4,5.5,1.8,8948,158100,26655,1669.833333,0,0,62.83333333,0,0,356.6666667,6341837,1112439,1139.316041
Fleming County,Kentucky,5747,2.62,81.4,15.8,6.2,88.4,1.1,4.3,33.3,46885,26230,21,6753,0.8,1.1,1.6,0.5,0.1,74.5,109300,15111,49.9,6.7,24.5,18.2,95.2,0.9,0.2,0.5,0,2.8,1.7,0,221,2088,1369,239,0,0,0,0,0,0,143950,0,41.83390025
Floyd County,Kentucky,14282,2.44,79.3,13.1,4.7,89.9,0.5,0.9,24.9,38723,22179,29.3,17446,1.9,2.3,2.1,1.6,0.8,71.3,89900,35780,51,5.7,22.2,18.8,96.4,0.8,0,0.4,0,2.2,1,0.1,687,7241,2097,762,0,0,53,0,0,163,473495,40929,90.49227483
Franklin County,Kentucky,22553,2.2,91.9,31.6,7.1,83,4,6.1,20,62929,38104,13.3,23983,3.7,7.3,6,4.3,3.8,63.3,184000,51475,51.6,5.5,20.9,18.1,82,8.7,0.1,1.7,0.2,5.4,3.5,2,1203,16317,3459,898,0,0,0,0,0,130,809916,120561,245.3365826
Fulton County,Kentucky,2378,2.52,80.4,14,8.5,86.2,0.3,0.8,19.7,35449,19960,27.4,3195,6,4.5,3.2,1.7,1.1,64.1,75000,6480,48.2,5.1,21.3,21,71,23.6,0.4,0,0.9,4,0.1,1.1,118,1441,292,100,0,0,0,0,0,0,44971,0,28.98540686
Gallatin County,Kentucky,3108,2.76,84.6,13,6.9,91.9,1.7,3.1,26.5,58641,27398,16.8,3726,0.4,0.3,7.6,2.7,1.9,70.5,154600,8720,48.2,5.4,22.5,13.5,88.3,2.7,0,0.1,0,6.2,7.1,1.3,88,1501,410,2193.2,52.46666667,0,132.9333333,0,34.13333333,391.2666667,67688,0,90.18659144
Garrard County,Kentucky,6488,2.63,84.9,19.9,9.5,90.8,2.8,4.1,34.1,58263,30728,15.7,7284,2.7,2,0.9,0.1,0.1,80.9,170800,17175,50.8,5.2,21.6,18.5,92.8,2.3,0.2,0,0,2.9,3.2,1.3,231,1480,1444,226,0,0,0,0,0,0,56025,0,76.77575191
Grant County,Kentucky,9146,2.71,88.9,15.7,7.2,93.1,0.7,1.1,29,65461,29113,12.8,10099,3.1,4,4.2,2,0.8,72.2,173600,25085,49.3,7.1,26.5,14,92.8,0.9,0,0.1,0,4.1,4.3,1.5,368,4663,1549,2193.2,52.46666667,0,132.9333333,0,34.13333333,391.2666667,348502,0,97.17527567
Graves County,Kentucky,14304,2.53,90.1,18.6,7,89.9,2.3,4.7,21,52526,28978,19.8,16526,2.4,2.3,0.8,1.2,1.1,74.8,134900,36701,50.7,6.7,23.9,18.3,87,4,0.3,0.4,0,5.9,5.6,0.5,692,9050,2702,547,0,0,0,0,0,0,564078,38812,67.5407317
Grayson County,Kentucky,9705,2.68,83.6,13.3,6,91.1,0.8,1.9,28.1,47024,25565,21.1,13346,2,2.4,1.7,0.5,1.2,76.9,141500,26465,50.2,6.4,23.8,17.8,95.6,0.5,0,0.3,0,2.5,1.5,0.4,436,6306,2011,454,0,0,0,0,0,84,279453,25955,52.86160794
Green County,Kentucky,4399,2.51,82.9,13.5,8.9,87.9,0.3,2.6,29.4,38595,24090,21.3,5278,0.8,0.8,1.9,0.4,0.1,74.4,97100,11198,49.9,5.9,21.2,20.1,94.7,1.8,0.8,0.1,0.9,1.7,0,0,164,1178,926,131,0,0,0,0,0,0,58969,5994,38.24868796
Greenup County,Kentucky,14478,2.45,89.9,17.6,7.6,90,0.9,1.2,24.6,58562,32070,15.1,16248,0.7,1.8,3,0.4,1.2,78.9,132200,35853,50.9,5,21.4,21.4,95.7,0.9,0.1,0.7,0,2.6,1.2,0.2,466,4982,1964,612.4285714,0,0,28.71428571,0,0,108.2857143,271840,0,101.8921291
Hancock County,Kentucky,3466,2.58,87.2,17.4,9.4,90.9,0.6,0.6,25.3,68102,30579,15.1,3902,2.1,1.9,4.2,0.4,0.7,79.3,116800,9058,49.1,5.9,23.9,17.7,95.1,0.9,0,0.1,0,2.6,2.1,0.3,132,3627,483,513.3333333,0,0,24.66666667,0,0,70.66666667,34420,0,46.47439056
Hardin County,Kentucky,42638,2.54,92.3,23.9,15.9,84.3,3.9,6.8,22.4,64136,35226,11.5,46920,3.3,5.9,6.2,3.5,2.1,62.1,186500,111005,50.1,6.4,24.6,14.6,77.3,11.9,0.2,2,0.4,6.8,3.6,1.4,2219,37896,6314,653.3333333,16.33333333,0,0,0,0,95.33333333,1744647,232524,177.9894294
Harlan County,Kentucky,10498,2.47,77,10.5,5.2,89.2,0.4,1.1,23.4,35128,20511,30,13016,1.5,2.8,4.2,1,1.3,68.9,71300,26589,51.7,5.9,23.3,19,94.6,2.1,0,0.5,0.1,2.5,1,0.1,354,3937,1206,325,0,0,0,0,0,62,204578,23856,55.83572673
Harrison County,Kentucky,7291,2.53,86.5,18.1,6.3,88.5,0.8,2,28.4,58840,29748,15.8,8101,5.5,2.9,1.7,1.3,0.4,70.6,170600,18803,51.5,6.6,22.8,18.9,94.1,2.1,0,0,0,3.3,1.9,0.8,278,4229,1204,301,0,0,0,0,0,0,145820,0,61.63593224
Hart County,Kentucky,7199,2.65,78.4,10.5,7.6,89.6,0.9,5.9,30.3,45561,23837,22.6,8841,1.6,2.4,2.1,0.8,1.3,73.7,115500,19345,50.5,6.6,24.5,16.8,91.5,4.2,0.1,0.5,0,2.8,1.8,0.3,266,3876,1777,215,0,0,0,0,0,25,147848,14163,46.13854065
Henderson County,Kentucky,18285,2.38,89.3,18.9,6.1,88.2,1.3,2.2,22.4,56912,30949,17,20098,4.5,5.3,4.3,3,4.9,64.2,156200,44770,51.6,5.6,22.7,18.3,86.5,7.2,0.2,0.3,0.1,4.4,2.4,0.3,982,15732,2435,1340.5,0,0.5,0,0,20.5,203,663859,71479,103.5757139
Henry County,Kentucky,6017,2.6,84.2,14.7,8.1,91.1,2.1,4.3,29.7,58294,28842,16.2,6634,1.6,2,1.7,0.4,1.3,74.3,161600,15731,50,5.7,23.5,17.6,91.2,2.4,0,0.5,0,4.4,3,0.6,209,1756,1145,1852.833333,27.5,0,89.66666667,0.166666667,0,324.1666667,168136,0,56.32653948
Hickman County,Kentucky,1621,2.69,88.4,22.2,6.6,92.3,0.7,1.9,19.7,68589,38895,16.7,2163,1.5,1.4,1.2,0,0.2,76.8,112700,4491,52.1,4.4,19.9,24.5,86.4,9.4,0.1,0,0,3.3,2,0.6,75,806,324,60,0,0,0,0,0,0,60378,0,18.07866923
Hopkins County,Kentucky,18345,2.41,88.6,15.5,5.8,87.2,1.7,1.9,22.1,54466,27878,19.2,20949,3.2,3.1,2.9,1.4,0.3,69.9,125800,45223,51.2,5.9,22.8,18.7,88.6,6.1,0.6,0.6,0,3.8,0.9,0.6,890,13725,2458,735,0,0,0,0,0,68,955782,58888,82.43647905
Jackson County,Kentucky,5154,2.5,73,11.2,5.4,92.5,0.3,1,41.7,38516,21876,22.6,6007,1.6,1.2,1.8,0.6,0.7,79.1,101900,13002,50,6.1,23,17.8,97.4,0.2,0.2,0.1,0,2,0.9,0.1,103,1056,893,66,0,0,0,0,0,0,34816,4415,38.61293749
Jefferson County,Kentucky,327211,2.34,91.3,36.1,6.7,85.6,8.6,10.6,22.3,66296,39994,14.1,356155,2.2,8.1,7.2,5.6,7.1,61.8,222200,779232,51.3,6.1,21.9,16.7,67.5,22,0.1,3,0,5.8,4.2,1.5,20123,445496,62676,1852.833333,27.5,0,89.66666667,0.166666667,0,324.1666667,12543439,2517271,2014.022731
Jessamine County,Kentucky,19251,2.69,89.6,30.3,7.5,87.5,4.3,6.5,23.9,69905,37703,12.1,20733,4.3,4,2.7,2,0.9,68.8,226900,53381,51.4,5.9,23.5,15.6,89.2,4.3,0.1,1.3,0,4.1,2.2,1.4,1226,16361,4960,1669.833333,0,0,62.83333333,0,0,356.6666667,986055,77606,314.3203679
Johnson County,Kentucky,8534,2.59,82.8,14.6,5,91.8,1.4,1.7,26.7,44231,22931,21.4,10526,0.7,2.8,3.6,2.1,3.3,69.3,130900,22631,49.9,5.3,22.1,18.5,96.5,0.5,0.1,1.2,0,1.7,1.2,0.3,344,3520,1210,366,0,0,0,0,0,0,385028,25850,84.6984863
Kenton County,Kentucky,67353,2.48,92,36.5,6.6,86.6,3.6,5.2,23,76016,40780,11.9,72564,5.5,4,5.3,7.2,4,69.1,207700,169066,50.2,6.4,23.4,15,88.4,4.4,0.1,1.3,0,4.1,2.9,2,3214,61172,10828,2193.2,52.46666667,0,132.9333333,0,34.13333333,391.2666667,1601623,405567,1041.847556
Knott County,Kentucky,5563,2.47,71.7,16.3,3.8,91.1,0.5,0.8,28.6,38336,20536,27.7,6718,0.8,1,1,1.2,0.1,72.6,66600,14282,50.3,5,20,19.6,96.6,1.1,0.2,0.1,0,1.2,1.2,0.4,154,1497,767,0,0,0,0,0,0,0,60955,5808,42.12016731
Knox County,Kentucky,11229,2.63,79,16.7,4.4,92.1,0.7,1,25,34254,20658,34,13817,4,2.3,4.2,1.9,1,64,109200,30207,51.4,6.4,23.6,17.2,95.9,0.7,0.1,0.1,0.1,3,1.1,0.6,455,7782,2000,342,0,0,0,0,0,71,294949,48797,80.62299649
Larue County,Kentucky,5967,2.46,84.4,15.2,7.4,86,1.3,1.7,29.1,57867,28038,18.8,6485,2.5,0.4,1.4,0.3,0,74.8,164000,14902,50.6,5.2,22.6,17.3,91.6,3.1,0,0.2,0,4,3.1,1.2,200,1960,1105,653.3333333,16.33333333,0,0,0,0,95.33333333,56668,5475,55.04811932
Laurel County,Kentucky,23424,2.62,84,16.6,5.9,90.8,0.9,1.6,22.1,53693,26829,20.5,26569,2.2,2.6,3.9,1.5,0.7,71.2,141300,62442,50.4,6,22.8,16.8,96.3,0.7,0.1,0.3,0,2.2,0.8,0.2,1202,22274,4410,889,0,0,0,0,0,153,1086598,128185,140.1259126
Lawrence County,Kentucky,5721,2.82,76.9,10.9,4.2,93.9,0.8,1.3,29.6,42488,21163,26.3,7534,1.2,0.9,2.3,0.8,0.6,74.4,100300,16228,49.8,6.9,24.6,18.2,97.8,0.2,0,0.4,0,1.5,0.1,0,199,2474,759,137,0,0,0,0,0,0,161332,0,36.85553218
Lee County,Kentucky,2637,2.52,73.5,7.3,6.6,85.4,0.5,0.7,41,31682,18651,31.4,3226,0.5,1.2,3.6,0.4,1.3,69.6,77400,7338,43,5.1,20.4,17.5,94,2,0.2,0.1,0,3.5,0.6,0.1,92,1150,369,115,0,0,0,0,0,0,36887,0,35.44497691
Leslie County,Kentucky,3698,2.74,82,11.6,3.7,93.6,0.3,1.4,37,37019,18739,33.6,4909,0,0,0,0,0.8,86.8,77900,10468,49.9,5.2,21.4,18.3,97.1,0.4,0,0.2,0,2.2,1.1,0,98,1059,431,93,0,0,0,0,0,0,55589,4142,24.63991895
Letcher County,Kentucky,8415,2.52,78.9,13.1,5.6,89.8,0.4,1.3,27.1,38466,23522,29,10614,0.8,1.4,1,0.9,0.5,74,66000,21490,50.2,5.4,21.5,20.1,97.5,0.7,0,0.2,0,1.4,0.9,0,276,2841,1035,281,0,0,0,0,0,0,138844,0,63.77941143
Lewis County,Kentucky,4757,2.72,78.7,10.2,6.3,88.9,0.5,0.4,45.2,36662,20579,26.6,6058,1.7,0.7,2.7,1.1,0.1,79.1,83400,13063,50.4,5.7,22.9,18.9,97.1,0,0,0.2,0.2,2.2,0.3,0,125,1217,832,95,0,0,0,0,0,0,63009,3457,27.49360617
Lincoln County,Kentucky,9692,2.48,82.6,15.4,7.9,89,0.9,3,31.4,49487,25972,17.4,10832,1.1,2.1,2,0.1,0.1,78.6,130100,24320,50.7,6.8,23.8,18.6,93.8,1.8,0,0.3,0,2.5,2.2,0.4,289,2616,1686,221,0,0,23,0,0,0,146310,11462,73.75542853
Livingston County,Kentucky,3537,2.52,87,13.2,7.3,93.1,0.5,0.5,26.9,56125,31024,16.8,4624,0.4,0.2,0.3,0.2,0.1,81.9,108100,8980,50.5,5.1,20.4,21.7,96,0.6,0,0,0,3,0.8,0.4,139,1702,568,147,0,0,0,0,0,0,45474,0,29.3617607
Logan County,Kentucky,10850,2.5,87.7,17.1,6.9,88,0.5,2.8,26.6,58869,27741,15.7,12462,4.2,3,2.3,0.4,0.4,73.9,134200,27498,51.1,6.5,23.8,18.6,90.1,5.9,0,0.4,0,2.6,1.2,0.4,472,7008,1933,463,0,0,28,0,0,69,276064,25766,49.07892367
Lyon County,Kentucky,3229,2.25,90.5,14.5,11.3,90.2,2.2,2,23.2,64081,30441,10,4788,1,3.9,3.6,1,0.5,81.9,164100,8721,43.5,3.3,13.7,25.1,90.1,6.5,0.5,0.7,0.1,1.8,0.9,0.1,162,1368,506,139,0,0,0,0,0,0,65346,19105,38.39280449
Madison County,Kentucky,36148,2.41,90.8,33.3,7.5,83.3,2.4,3.6,24.6,59797,31290,16.1,39382,4.7,7.4,8.4,4.6,2.4,61.3,200600,92955,51.1,5.4,20.8,14.3,90,3.9,0.3,0.9,0.2,3.8,1.9,0.8,1736,24427,6526,1309,0,0,49,0,0,238,1232205,184685,212.6131628
Magoffin County,Kentucky,4554,2.53,72.5,10.9,3.9,89.9,0.6,1.3,35.8,31927,19582,30.4,5462,1.6,0.8,0.9,0.9,0.5,75.2,83400,11647,49.4,6,22.4,18.2,97.9,0,0.2,0.4,0,1.2,0.6,0.7,149,1187,639,161,0,0,0,0,0,0,58188,8331,39.42690482
Marion County,Kentucky,7588,2.44,84.4,12.8,8.1,88.4,2,2.8,19.6,49627,25133,22.5,8381,1.7,4.1,2.2,2.1,1.1,73.8,141000,19627,49.7,5.9,23.9,16.8,89,6.9,0.2,0.6,0.1,2.5,1.5,0.8,340,7560,1274,319,0,0,0,0,0,23,176349,23587,56.18331746
Marshall County,Kentucky,12998,2.39,92.3,22.4,8.2,89.8,1,1.5,23.4,64597,32853,12.1,16391,1.5,1.3,1.7,0.9,2.3,82.5,160600,31706,50.3,4.9,20.3,21.8,96.7,0.7,0.3,0.2,0,1.8,1.1,0.7,698,8530,2255,621,0,0,0,0,0,90,453096,58587,102.9101844
Martin County,Kentucky,3756,2.66,75.3,10.8,2.5,88.9,0.9,1.2,30.3,45265,21276,23.5,4831,0.1,2,2.2,1.1,0.4,78.9,91800,11298,43.5,4.7,19.3,17.2,89.1,6.5,0.8,0.1,0,3.1,2.3,1.4,130,1078,379,0,0,0,0,0,0,0,105954,6206,48.75481359
Mason County,Kentucky,6695,2.51,85.6,22.6,6.3,86.9,1.5,3.5,25.4,48460,33842,18.7,8181,3.7,1.8,5,3.7,2.1,68.6,156600,17068,51,5.9,22.8,19,88,6.8,0.5,0.6,0.1,3.5,1.6,0.8,416,6560,1140,366,0,0,0,0,0,35,383307,39308,71.08757044
McCracken County,Kentucky,27000,2.46,92.7,28.2,7.2,89.7,1.5,2.5,17,58490,36401,15.2,32093,4.6,6.2,4.7,1.2,5.3,66.8,172300,67573,51.4,5.8,21.8,20.1,83.3,10.5,0.2,1,0,4.5,2.3,0.5,2037,32167,4896,1507,0,0,0,0,0,227,1715578,218225,263.0149859
